Distance From City,Distance To City,Distance (km)
Mumbai (Maharashtra),Delhi (Delhi),1166.17
Bengalooru (Karnataka),Kolkata (Bengal),1560.04
Chennai (Tamil Nadu),Ahmadabad (Gujarat),1369.89
Hyderabad (Andhra Pradesh),Pune (Maharashtra),504.09
Surat (Gujarat),Kanpur (Uttar Pradesh),964.93
Jaipur (Rajasthan),Lucknow (Uttar Pradesh),505.8
Nagpur (Maharashtra),Indore (),379.34
Patna (Bihar),Bhopal (Madhya Pradesh),822.95
Ludhiana (Punjab),Agra (Uttar Pradesh),463.8
Vadodara (Gujarat),Gorakhpur (Haryana),832.84
Nasik (Maharashtra),Pimpri (Maharashtra),151.96
Kalyan (Maharashtra),Thane (Maharashtra),20.03
Meerut (Uttar Pradesh),Faridabad (Haryana),71.68
Ghaziabad (Uttar Pradesh),Rajkot (Gujarat),972.52
Benares (Uttar Pradesh),Amritsar (Punjab),1058.87
Allahabad (Uttar Pradesh),Vishakhapatnam (Andhra Pradesh),874.64
Jabalpur (),Haora (Bengal),858.73
Aurangabad (Maharashtra),Solapur (Maharashtra),252.21
Srinagar (Jammu and Kashmir),Coimbatore (Tamil Nadu),2575.91
Jodhpur (Rajasthan),Chandigarh (Chandigarh),616.04
Madurai (Tamil Nadu),Guwahati (Assam),2305.93
Gwalior (Madhya Pradesh),Vijayawada (Andhra Pradesh),1108.33
Mysore (Karnataka),Ranchi (Jharkhand),1532.6
Hubli (Karnataka),Jalandhar (Punjab),1776.81
Thiruvananthapuram (Kerala),Salem (Tamil Nadu),377.75
