CITY,DISTANCE (Kms),CITY,DISTANCE (Kms),CITY,DISTANCE (Kms)
Agartala,2546,Guntur,414,Nellore,638
Agra,1677,Gurgaon,1873,Panaji,1255
Ahmedabad,1858,Guwahati,1908,Paradwip,549
Aizawl,2172,Gwalior,1439,Pathankot,2355
Ajmer,2121,Haldia,850,Patna,1270
Akola,1052,Hasan,1202,Pondicherry,975
Aligarh,1760,Hissar,2044,Porbandar,2252
Allahabad,1230,Hubli,1068,Pune,1198
Ambala,2071,Hyderabad,650,Purulia,892
Amritsar,2326,Imphal,2392,Raipur,590
Asansol,998,Indore,1308,Rajkot,2074
Aurangabad,1113,Jabalpur,952,Rameswaram,1402
Bhaktiyarpur,1211,Jaipur,1804,Ranchi,981
Bangalore,1015,Jaisalmer,2294,Ranipettai,878
Barauni,1322,Jalandhar,2243,Raurkela,759
Barddhaman,913,Jammu,2462,Rohtak,1827
Bareilly,1889,Jamnagar,2160,Sagar,1144
Belgaum,1162,Jhamshedpur,819,Saharanpur,2010
Bellary,858,Jhansi,1342,Salem,1136
Bhagalpur,1226,Jodhpur,2055,Sambalpuri,610
Bhavnagar,2045,Jorhat,2211,Shahjahanpur,1637
Bhopal,1312,Kakinada,162,Siliguri,1433
Bhubaneshwar,425,Kandla,2223,Shillong,2008
Bikaner,2354,Kanniyakumari,1493,Shimla,2222
Bilaspur,701,Kanpur,1425,Shivpuri,1443
Kolkata,866,Kochi,1494,Silchar,2234
Chandigarh,2117,Kohima,2247,Solapur,955
Chennai,810,Kohlapur,1189,Srinagar,2755
Chittardurga,968,Kota,1562,Surat,1476
Coimbatore,1301,Kozhikode,1370,Thane,1340
Cuttack,450,Krishnagiri,1072,Thanjavur,1152
Dehru Dun,2058,Kurnool,701,Thiruvananthapuram,1518
Delhi,1880,Lucknow,1468,Thrissur,1415
Dhanbad,975,Ludhiana,2184,Trichchirappalli,126
Dhule,1256,Madurai,1254,Tirunelveli,1408
Dibrugarh,2347,Mangalore,1362,Tirupati,791
Dimapur,2182,Meerut,1774,Tuticorin,1389
Dindigul,1205,Moradabad,1909,Udaipur,1951
Durgapur,1038,Motihari,1309,Ujjain,1363
Ganganagar,2319,Mumbai,1361,Ulhasnagar,1334
Gangtok,1547,Muzaffarnagar,1825,Vadodara,1595
Gaya,1199,Muzaffarpur,1425,Varanasi,1390
Ghaziabad,1898,Mysore,1154,Vijayawada,382
Ghazipur,1386,Nagpur,960,Warangal,510
Gorakhpur,1591,Nanded,837
Gulbarga,863,Nashik,1325
